"Station"	"Year"	"Month"	"C"	"RH"	"Blight"
"1"	11641	1990	1	24.75	77.05	0.16
"2"	11641	1990	2	24.45	75.23	0.29
"3"	11641	1990	3	24.61	74.88	0.1
"4"	11641	1990	4	26.03	71.44	0
"5"	11641	1990	5	27.34	74.81	0
"6"	11641	1990	6	27.59	77.17	0
"7"	11641	1990	7	27.8	76.65	0
"8"	11641	1990	8	28.09	77.44	0
"9"	11641	1990	9	28.13	77.38	0
"10"	11641	1990	10	27.08	81.81	0.16
"11"	11641	1990	11	26.57	78.95	0
"12"	11641	1990	12	24.97	76.09	0.13
"13"	11641	1991	1	24.7	77.2	0.13
"14"	11641	1991	2	24.88	77.79	0.21
"15"	11641	1991	3	25.43	72.91	0
"16"	11641	1991	4	26.05	76.25	0
"17"	11641	1991	5	27.04	77.09	0
"18"	11641	1991	6	27.91	77.71	0
"19"	11641	1991	7	28.16	81.22	0.03
"20"	11641	1991	8	28.46	78.19	0
"21"	11641	1991	9	28.1	78.08	0
"22"	11641	1991	10	27.5	76.37	0.03
"23"	11641	1991	11	26.35	80.06	0
"24"	11641	1991	12	24.8	78.71	0.23
"25"	11641	1992	1	24.82	80.63	0.19
"26"	11641	1992	2	25.34	77.14	0.07
"27"	11641	1992	3	25.67	78.1	0
"28"	11641	1992	4	26.89	74.59	0
"29"	11641	1992	6	28.08	77.39	0
"30"	11641	1992	7	27.73	79.54	0.03
"31"	11641	1992	8	27.87	78.16	0
"32"	11641	1992	9	27.55	80.78	0.03
"33"	11641	1992	10	28.38	76.43	0
"34"	11641	1992	11	26.74	80.5	0.07
"35"	11641	1992	12	26.08	77.62	0
"36"	11641	1993	2	25.46	73.26	0.11
"37"	11641	1993	3	25.99	74.04	0
"38"	11641	1993	4	26.37	76.92	0.03
"39"	11641	1993	5	27.39	76.84	0
"40"	11641	1993	6	28.19	75.92	0
"41"	11641	1993	7	28	77.06	0.03
"42"	11641	1993	8	28.65	74.49	0
"43"	11641	1993	9	27.92	77.01	0
"44"	11641	1993	10	27.81	76.9	0
"45"	11641	1993	11	26.76	77.6	0
"46"	11641	1993	12	25.77	77.14	0.03
"47"	11641	1994	1	25.08	76.9	0.19
"48"	11641	1994	2	25.05	74.25	0.04
"49"	11641	1994	3	26.01	70.29	0
"50"	11641	1994	4	26.38	70.71	0
"51"	11641	1994	6	27.86	73.41	0
"52"	11641	1994	7	28.12	71.88	0
"53"	11641	1994	8	28.56	73.03	0
"54"	11641	1994	9	28.21	75.47	0
"55"	11641	1994	10	27.87	75.13	0
"56"	11641	1994	11	26.89	78.39	0.03
"57"	11641	1994	12	26.09	74.7	0
"58"	11641	1995	1	25.32	74.73	0.13
"59"	11641	1995	2	25.24	74.84	0.14
"60"	11641	1995	3	25.06	70.83	0
"61"	11641	1995	4	26.77	74.02	0
"62"	11641	1995	5	27.16	79.2	0
"63"	11641	1995	6	28.21	76.45	0.03
"64"	11641	1995	8	28.75	75.97	0
"65"	11641	1995	9	28.84	74.8	0.03
"66"	11641	1995	10	27.35	80.23	0.03
"67"	11641	1995	11	26.82	77.82	0
"68"	11641	1995	12	26.21	77.55	0.03
"69"	12815	1990	1	18.36	74.4	1.81
"70"	12815	1990	2	19.99	72.46	1.32
"71"	12815	1990	3	20.42	68.76	0.58
"72"	12815	1990	4	21.57	67.42	0.6
"73"	12815	1990	6	26.73	73.95	0.03
"74"	12815	1990	7	27.18	76.7	0
"75"	12815	1990	8	27.31	76.71	0.26
"76"	12815	1990	9	26.86	73.61	0.17
"77"	12815	1990	10	24.17	75	0.03
"78"	12815	1990	11	20.24	73.9	0.93
"79"	12815	1990	12	18.6	77.75	2.35
"80"	12815	1991	1	18.24	79.55	2.55
"81"	12815	1991	2	17.51	67.71	0.96
"82"	12815	1991	3	19.51	72.76	2.06
"83"	12815	1991	4	23.56	76.31	1.43
"84"	12815	1991	5	25.49	77.96	0.77
"85"	12815	1991	6	26.27	77.93	0.03
"86"	12815	1991	7	26.86	81.74	0.19
"87"	12815	1991	8	27.35	80.02	0.06
"88"	12815	1991	9	26.67	79.15	0.03
"89"	12815	1991	10	23.06	77.88	0.97
"90"	12815	1991	11	18.32	74.35	1.7
"91"	12815	1991	12	18.11	75.4	1.55
"92"	12815	1992	1	14.97	71.51	1.23
"93"	12815	1992	2	17.57	74.4	1.24
"94"	12815	1992	3	18.83	67.88	1.13
"95"	12815	1992	4	20.49	72.08	1.77
"96"	12815	1992	5	23.43	70.8	1.48
"97"	12815	1992	6	26.3	82.96	0.03
"98"	12815	1992	7	28.33	74.86	0.03
"99"	12815	1992	8	26.51	82.54	0.16
"100"	12815	1992	9	26.15	83.46	0.1
"101"	12815	1992	10	22.32	78.42	2.13
"102"	12815	1992	11	20.59	77.92	0.53
"103"	12815	1992	12	17.16	80.09	2.32
"104"	12815	1993	1	18.44	81.08	2.32
"105"	12815	1993	2	15.51	71	1.5
"106"	12815	1993	3	18.03	70.56	1.39
"107"	12815	1993	4	19.97	64.23	0.2
"108"	12815	1993	5	23.95	68.48	0.16
"109"	12815	1993	6	26.76	74.31	0
"110"	12815	1993	7	27.68	75.93	0.03
"111"	12815	1993	8	27.39	76.62	0.06
"112"	12815	1993	9	26.1	79.59	0
"113"	12815	1993	10	22.94	81.94	2.26
"114"	12815	1993	11	19.77	79.8	2.37
"115"	12815	1993	12	14.55	74.14	1.06
"116"	12815	1994	1	15.66	79.8	2.26
"117"	12815	1994	2	18.6	78.48	2.39
"118"	12815	1994	3	19.69	70.65	1.35
"119"	12815	1994	4	22.9	75.15	1.53
"120"	12815	1994	5	24.62	73.44	0.52
"121"	12815	1994	6	26.31	83.5	0.07
"122"	12815	1994	7	26.3	80.92	0.23
"123"	12815	1994	8	25.91	84.65	0.19
"124"	12815	1994	9	25.14	88.06	0.67
"125"	12815	1994	10	23.56	85.29	2.29
"126"	12815	1994	11	21.46	82.52	3
"127"	12815	1994	12	17.55	86.65	3.13
"128"	12815	1995	1	14.4	78.79	1.35
"129"	12815	1995	2	16.05	70.97	1.82
"130"	12815	1995	3	19.37	76.63	1.84
"131"	12815	1995	4	22.12	77.49	2.34
"132"	12815	1995	6	25.76	79.59	0.33
"133"	12815	1995	7	27.12	79.94	0.1
"134"	12815	1995	8	27.37	82.28	0.06
"135"	12815	1995	9	26.67	81.78	0.1
"136"	12815	1995	10	24.44	81.75	0.68
"137"	12815	1995	11	18.23	76.45	1.6
"138"	12815	1995	12	15.42	77.78	2.57
"139"	12816	1990	1	14.87	80.57	1.97
"140"	12816	1990	2	17.27	79.39	2.29
"141"	12816	1990	3	18.05	76.43	2.19
"142"	12816	1990	4	19.07	73.8	2.07
"143"	12816	1990	6	25.69	79.79	1.1
"144"	12816	1990	9	25.01	81.54	1.4
"145"	12816	1990	10	21.72	82.22	2.03
"146"	12816	1990	11	16.92	80.25	2.27
"147"	12816	1990	12	15.59	84.4	3
"148"	12816	1991	3	17.25	75.4	1.97
"149"	12816	1991	4	21.88	81.3	3.67
"150"	12816	1991	5	25.12	77.93	1.06
"151"	12816	1991	6	25.64	77.42	0.63
"152"	12816	1991	7	25.77	87.53	0.39
"153"	12816	1991	8	26.18	84.94	0.13
"154"	12816	1991	9	24.68	81.28	1.5
"155"	12816	1991	10	20.61	83.25	3.19
"156"	12816	1991	11	14.85	78.96	2
"157"	12816	1991	12	14.28	81.44	2.55
"158"	12816	1992	1	11.5	75.55	1.13
"159"	12816	1992	2	14.39	80.68	2.28
"160"	12816	1992	4	18.51	73.14	1.93
"161"	12816	1992	5	21.6	75.16	2
"162"	12816	1992	6	25.41	85.34	0.8
"163"	12816	1992	8	25.38	87.96	0.52
"164"	12816	1992	9	24.5	86.88	0.63
"165"	12816	1992	10	19.46	86.4	3.48
"166"	12816	1992	11	17.02	87.82	2.9
"167"	12816	1992	12	13.42	84.73	2.45
"168"	12816	1993	1	15.02	84.92	2.77
"169"	12816	1993	2	12.13	76.72	1.04
"170"	12816	1993	4	17.68	69.05	0.57
"171"	12816	1993	5	22.31	73.31	2.19
"172"	12816	1993	6	25.5	77.62	1.87
"173"	12816	1993	7	26.86	80.69	0.65
"174"	12816	1993	8	26.87	77.36	0.48
"175"	12816	1993	9	24.96	81.21	0.7
"176"	12816	1993	10	20.62	84.16	3.68
"177"	12816	1993	11	16.64	82.71	2.77
"178"	12816	1993	12	10.47	80.53	0.77
"179"	12816	1994	1	11.34	83.68	1.77
"180"	12816	1994	2	15.87	80.72	2.61
"181"	12816	1994	3	17.34	73.4	2
"182"	12816	1994	4	21.11	79.48	3.13
"183"	12816	1994	5	23.37	72.96	1.9
"184"	12816	1994	10	21.06	86.68	3.58
"185"	12816	1994	11	18.86	83.52	3.23
"186"	12816	1994	12	14.36	86.04	2.55
"187"	12816	1995	1	11.44	75.64	0.81
"188"	12816	1995	3	17.72	74.75	1.74
"189"	12816	1995	11	14.25	76.61	1.43
"190"	12816	1995	12	11.67	74.82	1.63
"191"	12834	1990	1	16.76	77.9	1.84
"192"	12834	1990	2	19.35	75.63	1.57
"193"	12834	1990	3	19.15	75.33	1.19
"194"	12834	1990	4	20.85	70.4	1.3
"195"	12834	1990	5	25.09	72.4	0.03
"196"	12834	1990	6	26.35	77.85	0.33
"197"	12834	1990	7	26.92	80.25	0
"198"	12834	1990	8	26.87	80.59	0.32
"199"	12834	1990	9	26.69	75.67	0.13
"200"	12834	1990	10	24.21	75.29	0.71
"201"	12834	1990	11	19.6	76.12	2
"202"	12834	1990	12	17.8	79.66	2.55
"203"	12834	1991	1	17.15	80.92	2.48
"204"	12834	1991	2	16.51	72.54	1.57
"205"	12834	1991	3	18.67	72.88	1.26
"206"	12834	1991	4	22.91	78.79	1.23
"207"	12834	1991	5	25.5	78.6	0.71
"208"	12834	1991	6	26.1	78.88	0.03
"209"	12834	1991	7	26.8	81.39	0.03
"210"	12834	1991	8	27.26	80.45	0.03
"211"	12834	1991	9	26.79	76.79	0
"212"	12834	1991	10	22.75	77.05	1.03
"213"	12834	1991	11	17.79	75.57	1
"214"	12834	1991	12	16.99	79.17	1.94
"215"	12834	1992	1	13.52	73.88	1.26
"216"	12834	1992	2	16.07	77.79	1.38
"217"	12834	1992	3	17.33	70.54	1
"218"	12834	1992	4	19.61	71.9	1.47
"219"	12834	1992	5	22.42	73.98	1.19
"220"	12834	1992	6	26.08	82.26	0.23
"221"	12834	1992	7	28.1	75.29	0
"222"	12834	1992	8	26.01	83.35	0.29
"223"	12834	1992	9	26.13	83.71	0.07
"224"	12834	1992	10	21.9	79.32	2.13
"225"	12834	1992	11	20.01	80.19	0.7
"226"	12834	1992	12	16.06	82.12	2.32
"227"	12834	1993	1	17.44	84.04	2.71
"228"	12834	1993	2	13.97	77.71	1.57
"229"	12834	1993	3	16.92	75.43	1.71
"230"	12834	1993	4	18.76	68.45	0.43
"231"	12834	1993	5	23	73.84	0.94
"232"	12834	1993	6	26.09	78.4	0.53
"233"	12834	1993	7	27.36	79.41	0.19
"234"	12834	1993	8	27.02	80.53	0.1
"235"	12834	1993	9	26.12	80.47	0.03
"236"	12834	1993	10	22.61	83.79	1.94
"237"	12834	1993	11	19.47	82.05	2.67
"238"	12834	1993	12	13.36	77.49	0.74
