Station	Year	Month	C	RH	Blight
11641	1990	1	24.75	77.05	0.29
11641	1990	2	24.45	75.23	0.71
11641	1990	3	24.61	74.88	0.16
11641	1990	4	26.03	71.44	0.13
11641	1990	5	27.34	74.81	0.06
11641	1990	6	27.59	77.17	0.23
11641	1990	7	27.8	76.65	0.23
11641	1990	8	28.09	77.44	0.29
11641	1990	9	28.13	77.38	0.23
11641	1990	10	27.08	81.81	0.52
11641	1990	11	26.57	78.95	0.23
11641	1990	12	24.97	76.09	0.48
11641	1991	1	24.7	77.2	0.19
11641	1991	2	24.88	77.79	0.46
11641	1991	3	25.43	72.91	0
11641	1991	4	26.05	76.25	0.23
11641	1991	5	27.04	77.09	0
11641	1991	6	27.91	77.71	0.27
11641	1991	7	28.16	81.22	0.58
11641	1991	8	28.46	78.19	0.06
11641	1991	9	28.1	78.08	0.2
11641	1991	10	27.5	76.37	0.1
11641	1991	11	26.35	80.06	0.4
11641	1991	12	24.8	78.71	0.65
11641	1992	1	24.82	80.63	0.77
11641	1992	2	25.34	77.14	0.41
11641	1992	3	25.67	78.1	0.19
11641	1992	4	26.89	74.59	0.07
11641	1992	6	28.08	77.39	0.2
11641	1992	7	27.73	79.54	0.39
11641	1992	8	27.87	78.16	0.1
11641	1992	9	27.55	80.78	0.63
11641	1992	10	28.38	76.43	0.1
11641	1992	11	26.74	80.5	0.8
11641	1992	12	26.08	77.62	0.13
11641	1993	2	25.46	73.26	0.18
11641	1993	3	25.99	74.04	0.19
11641	1993	4	26.37	76.92	0.27
11641	1993	5	27.39	76.84	0.29
11641	1993	6	28.19	75.92	0.4
11641	1993	7	28	77.06	0.23
11641	1993	8	28.65	74.49	0.06
11641	1993	9	27.92	77.01	0.13
11641	1993	10	27.81	76.9	0.06
11641	1993	11	26.76	77.6	0.2
11641	1993	12	25.77	77.14	0.39
11641	1994	1	25.08	76.9	0.52
11641	1994	2	25.05	74.25	0.18
11641	1994	3	26.01	70.29	0
11641	1994	4	26.38	70.71	0.03
11641	1994	6	27.86	73.41	0.03
11641	1994	7	28.12	71.88	0
11641	1994	8	28.56	73.03	0.03
11641	1994	9	28.21	75.47	0
11641	1994	10	27.87	75.13	0.23
11641	1994	11	26.89	78.39	0.33
11641	1994	12	26.09	74.7	0.03
11641	1995	1	25.32	74.73	0.19
11641	1995	2	25.24	74.84	0.36
11641	1995	3	25.06	70.83	0
11641	1995	4	26.77	74.02	0.17
11641	1995	5	27.16	79.2	0.26
11641	1995	6	28.21	76.45	0.3
11641	1995	8	28.75	75.97	0.06
11641	1995	9	28.84	74.8	0.2
11641	1995	10	27.35	80.23	0.58
11641	1995	11	26.82	77.82	0.27
11641	1995	12	26.21	77.55	0.23
12815	1990	1	18.36	74.4	3.16
12815	1990	2	19.99	72.46	2.43
12815	1990	3	20.42	68.76	1.42
12815	1990	4	21.57	67.42	1.23
12815	1990	6	26.73	73.95	0.27
12815	1990	7	27.18	76.7	0.45
12815	1990	8	27.31	76.71	0.97
12815	1990	9	26.86	73.61	0.47
12815	1990	10	24.17	75	0.16
12815	1990	11	20.24	73.9	1.57
12815	1990	12	18.6	77.75	3.94
12815	1991	1	18.24	79.55	3.9
12815	1991	2	17.51	67.71	1.75
12815	1991	3	19.51	72.76	3.48
12815	1991	4	23.56	76.31	2.8
12815	1991	5	25.49	77.96	1.87
12815	1991	6	26.27	77.93	0.87
12815	1991	7	26.86	81.74	1.29
12815	1991	8	27.35	80.02	1.16
12815	1991	9	26.67	79.15	1.23
12815	1991	10	23.06	77.88	2.19
12815	1991	11	18.32	74.35	2.7
12815	1991	12	18.11	75.4	2.65
12815	1992	1	14.97	71.51	2.42
12815	1992	2	17.57	74.4	2.31
12815	1992	3	18.83	67.88	2
12815	1992	4	20.49	72.08	3.37
12815	1992	5	23.43	70.8	2.55
12815	1992	6	26.3	82.96	1.3
12815	1992	7	28.33	74.86	0.68
12815	1992	8	26.51	82.54	1.32
12815	1992	9	26.15	83.46	1.4
12815	1992	10	22.32	78.42	3.71
12815	1992	11	20.59	77.92	1.27
12815	1992	12	17.16	80.09	3.71
12815	1993	1	18.44	81.08	3.65
12815	1993	2	15.51	71	2.5
12815	1993	3	18.03	70.56	2.23
12815	1993	4	19.97	64.23	0.57
12815	1993	5	23.95	68.48	0.42
12815	1993	6	26.76	74.31	0.33
12815	1993	7	27.68	75.93	0.48
12815	1993	8	27.39	76.62	0.35
12815	1993	9	26.1	79.59	1
12815	1993	10	22.94	81.94	3.48
12815	1993	11	19.77	79.8	4.13
12815	1993	12	14.55	74.14	2.19
12815	1994	1	15.66	79.8	3.55
12815	1994	2	18.6	78.48	3.96
12815	1994	3	19.69	70.65	2.23
12815	1994	4	22.9	75.15	2.67
12815	1994	5	24.62	73.44	0.97
12815	1994	6	26.31	83.5	1.13
12815	1994	7	26.3	80.92	1.16
12815	1994	8	25.91	84.65	1.42
12815	1994	9	25.14	88.06	2.23
12815	1994	10	23.56	85.29	3.84
12815	1994	11	21.46	82.52	4.63
12815	1994	12	17.55	86.65	4.65
12815	1995	1	14.4	78.79	2.35
12815	1995	2	16.05	70.97	3.07
12815	1995	3	19.37	76.63	3
12815	1995	4	22.12	77.49	3.69
12815	1995	6	25.76	79.59	1.43
12815	1995	7	27.12	79.94	1.13
12815	1995	8	27.37	82.28	1.48
12815	1995	9	26.67	81.78	1.43
12815	1995	10	24.44	81.75	1.97
12815	1995	11	18.23	76.45	3.03
12815	1995	12	15.42	77.78	3.83
12816	1990	1	14.87	80.57	3.48
12816	1990	2	17.27	79.39	3.5
12816	1990	3	18.05	76.43	3.74
12816	1990	4	19.07	73.8	3.47
12816	1990	6	25.69	79.79	2.43
12816	1990	9	25.01	81.54	2.9
12816	1990	10	21.72	82.22	3.58
12816	1990	11	16.92	80.25	3.33
12816	1990	12	15.59	84.4	4.58
12816	1991	3	17.25	75.4	3.13
12816	1991	4	21.88	81.3	5.5
12816	1991	5	25.12	77.93	2.1
12816	1991	6	25.64	77.42	1.47
12816	1991	7	25.77	87.53	1.68
12816	1991	8	26.18	84.94	1.13
12816	1991	9	24.68	81.28	2.87
12816	1991	10	20.61	83.25	4.87
12816	1991	11	14.85	78.96	3.17
12816	1991	12	14.28	81.44	4.26
12816	1992	1	11.5	75.55	1.87
12816	1992	2	14.39	80.68	3.76
12816	1992	4	18.51	73.14	2.97
12816	1992	5	21.6	75.16	3.71
12816	1992	6	25.41	85.34	1.5
12816	1992	8	25.38	87.96	1.29
12816	1992	9	24.5	86.88	1.63
12816	1992	10	19.46	86.4	5.81
12816	1992	11	17.02	87.82	4.3
12816	1992	12	13.42	84.73	3.94
12816	1993	1	15.02	84.92	4.32
12816	1993	2	12.13	76.72	1.79
12816	1993	4	17.68	69.05	1.53
12816	1993	5	22.31	73.31	4.1
12816	1993	6	25.5	77.62	3.7
12816	1993	7	26.86	80.69	1.77
12816	1993	8	26.87	77.36	1.39
12816	1993	9	24.96	81.21	1.37
12816	1993	10	20.62	84.16	5.42
12816	1993	11	16.64	82.71	4.03
12816	1993	12	10.47	80.53	2
12816	1994	1	11.34	83.68	3.03
12816	1994	2	15.87	80.72	3.93
12816	1994	3	17.34	73.4	3.29
12816	1994	4	21.11	79.48	4.77
12816	1994	5	23.37	72.96	3.32
12816	1994	10	21.06	86.68	5.65
12816	1994	11	18.86	83.52	5.07
12816	1994	12	14.36	86.04	3.84
12816	1995	1	11.44	75.64	1.48
12816	1995	3	17.72	74.75	2.97
12816	1995	11	14.25	76.61	2.53
12816	1995	12	11.67	74.82	2.6
12834	1990	1	16.76	77.9	3.23
12834	1990	2	19.35	75.63	2.36
12834	1990	3	19.15	75.33	2.65
12834	1990	4	20.85	70.4	2.47
12834	1990	5	25.09	72.4	0.16
12834	1990	6	26.35	77.85	0.9
12834	1990	7	26.92	80.25	0.52
12834	1990	8	26.87	80.59	1.06
12834	1990	9	26.69	75.67	0.57
12834	1990	10	24.21	75.29	1.71
12834	1990	11	19.6	76.12	3.3
12834	1990	12	17.8	79.66	3.97
12834	1991	1	17.15	80.92	3.77
12834	1991	2	16.51	72.54	2.5
12834	1991	3	18.67	72.88	2.32
12834	1991	4	22.91	78.79	2.1
12834	1991	5	25.5	78.6	1.13
12834	1991	6	26.1	78.88	0.57
12834	1991	7	26.8	81.39	1.16
12834	1991	8	27.26	80.45	1
12834	1991	9	26.79	76.79	0.4
12834	1991	10	22.75	77.05	2.13
12834	1991	11	17.79	75.57	1.8
12834	1991	12	16.99	79.17	3.35
12834	1992	1	13.52	73.88	2.32
12834	1992	2	16.07	77.79	2.24
12834	1992	3	17.33	70.54	1.74
12834	1992	4	19.61	71.9	2.53
12834	1992	5	22.42	73.98	2.19
12834	1992	6	26.08	82.26	1.23
12834	1992	7	28.1	75.29	0.26
12834	1992	8	26.01	83.35	1
12834	1992	9	26.13	83.71	0.9
12834	1992	10	21.9	79.32	3.29
12834	1992	11	20.01	80.19	1.47
12834	1992	12	16.06	82.12	3.39
12834	1993	1	17.44	84.04	4.32
12834	1993	2	13.97	77.71	2.46
12834	1993	3	16.92	75.43	2.77
12834	1993	4	18.76	68.45	1.23
12834	1993	5	23	73.84	1.94
12834	1993	6	26.09	78.4	1.23
12834	1993	7	27.36	79.41	0.9
12834	1993	8	27.02	80.53	0.77
12834	1993	9	26.12	80.47	0.7
12834	1993	10	22.61	83.79	3.06
12834	1993	11	19.47	82.05	4.2
12834	1993	12	13.36	77.49	1.65
12834	1994	1	14.32	80.39	2.71
12834	1994	2	17.47	79.15	2.79
12834	1994	3	18.65	73.72	2.71
12834	1994	4	22.4	75.7	1.77
12834	1994	5	23.8	74.95	1.77
12834	1994	6	25.95	83.87	1.2
12834	1994	7	25.99	84.32	1.48
12834	1994	8	25.95	84.92	0.84
12834	1994	9	25.17	84.91	1.43
12834	1994	10	23.35	83.08	3.23
12834	1994	11	20.87	84.66	3.87
12834	1995	1	13.13	74.83	1.61
12834	1995	2	14.88	71.5	2.43
12834	1995	3	18.6	77.09	2.94
12834	1995	4	21.29	77.27	3.5
12834	1995	5	25.83	72.7	0.74
12834	1995	6	25.68	79.5	0.93
12835	1990	2	21.12	72.72	2.46
12835	1990	3	21.6	68.3	1.06
12835	1990	4	23.02	67.64	0.8
12835	1990	5	26.29	74.37	0.84
12835	1990	6	27.39	73.29	0.63
12835	1990	9	27.44	76	0.77
12835	1990	10	25.52	73.28	0.55
12835	1990	11	21.82	71.44	1.33
12835	1990	12	20.21	73.85	2.87
12835	1991	1	20.56	79.46	4
12835	1991	2	19.43	70.8	2
12835	1991	3	21.51	73.75	1.65
12835	1991	4	24.74	75.06	1.8
12835	1991	5	26.15	76.43	1.26
12835	1991	6	27.15	76.74	0.63
12835	1991	7	27.31	80.22	1.1
12835	1991	8	27.92	77.66	0.94
12835	1991	9	27.18	76.34	0.77
12835	1991	10	24.71	75.06	1.26
12835	1991	11	20.08	71.5	2.1
12835	1991	12	19.5	73.6	2.42
12835	1992	1	17.12	72.21	2.42
12835	1992	3	20.25	70.89	1.81
12835	1992	4	22.11	69	1.37
12835	1992	5	24.42	66.44	0.84
12835	1992	6	27.16	78.92	1.2
12835	1992	7	28.18	75.53	0.81
