"RH"	"C"	"monthly.gam.surface"
70	3	0.0987833205791526
70	4	0.128908542737033
70	5	0.171135937991136
70	6	0.229604221793023
70	7	0.29699906443636
70	8	0.359596422103230
70	9	0.405213502255356
70	10	0.439802669099539
70	11	0.479312284464813
70	12	0.533961196402843
70	13	0.602716267771219
70	14	0.676607886979227
70	15	0.745228374464286
70	16	0.795015435839366
70	17	0.81857792236763
70	18	0.81549019664166
70	19	0.79198353126102
70	20	0.763935135786007
70	21	0.738265246250471
70	22	0.710062590795261
70	23	0.665568407529702
70	24	0.58390885287249
70	25	0.464410973334583
70	26	0.333846033774506
70	27	0.22048231601734
70	28	0.130176314498151
70	29	0.0510216115591994
70	30	0
70	31	0
70	32	0
70	33	0
70	34	0
70	35	0
71	3	0.107709473153705
71	4	0.142424762986556
71	5	0.189324614802676
71	6	0.250384266998785
71	7	0.317678038015088
71	8	0.377219820457112
71	9	0.421093293258638
71	10	0.45825047319708
71	11	0.508621235928892
71	12	0.58208092724005
71	13	0.669861732486255
71	14	0.752212679775247
71	15	0.818053101475861
71	16	0.861102787088025
71	17	0.883566330831737
71	18	0.891502892484039
71	19	0.88728740112139
71	20	0.877553665718329
71	21	0.865339122438004
71	22	0.840321569011637
71	23	0.779323519518816
71	24	0.667112127229536
71	25	0.511173162448959
71	26	0.349260675350759
71	27	0.217262780357994
71	28	0.119545966271075
71	29	0.0391975222752594
71	30	0
71	31	0
71	32	0
71	33	0
71	34	0
71	35	0
72	3	0.121318187795960
72	4	0.161524063571154
72	5	0.212333685214263
72	6	0.273346920414611
72	7	0.335774037021252
72	8	0.388927422237277
72	9	0.430848436592934
72	10	0.475239585805373
72	11	0.540829936283255
72	12	0.632871342610361
72	13	0.734776835581406
72	14	0.820191315282342
72	15	0.87922466303427
72	16	0.915989643539177
72	17	0.945918724048852
72	18	0.976776591189475
72	19	0.997316781878176
72	20	0.999449220828188
72	21	0.985322587529994
72	22	0.94954044261181
72	23	0.867634002125521
72	24	0.726017818952868
72	25	0.539199665449361
72	26	0.350734177760691
72	27	0.202462426133252
72	28	0.0971048904255547
72	29	0.0131656305888268
72	30	0
72	31	0
72	32	0
72	33	0
72	34	0
72	35	0
73	3	0.133647851082783
73	4	0.178801213187470
73	5	0.23330969895577
73	6	0.294027335037607
73	7	0.352630034065811
73	8	0.402858392253013
73	9	0.448090340853594
73	10	0.50446512809976
73	11	0.586179291895606
73	12	0.691287857928386
73	13	0.798755028182018
73	14	0.882574510333584
73	15	0.936938746751184
73	16	0.975237973269286
73	17	1.02031463608681
73	18	1.07778197113155
73	19	1.11694271817752
73	20	1.11368689722191
73	21	1.07500233683906
73	22	1.01256834551102
73	23	0.910587793946675
73	24	0.750561273846957
73	25	0.546761937810621
73	26	0.343569991507690
73	27	0.184386532677829
73	28	0.0713090948602811
73	29	0
73	30	0
73	31	0
73	32	0
73	33	0
73	34	0
73	35	0
74	3	0.137778268730833
74	4	0.18825209665766
74	5	0.247846190771648
74	6	0.311402815919383
74	7	0.371254860370007
74	8	0.425275427022987
74	9	0.480717702136868
74	10	0.552363069331383
74	11	0.6486559999512
74	12	0.762587704072266
74	13	0.872284593032451
74	14	0.955535108254099
74	15	1.01178140807345
74	16	1.06204572367986
74	17	1.12742478261744
74	18	1.20238290251579
74	19	1.24448710731436
74	20	1.22157300426456
74	21	1.14856402375509
74	22	1.05532878763113
74	23	0.936444676990622
74	24	0.767035886087406
74	25	0.556094268550542
74	26	0.345417013422802
74	27	0.175877982478243
74	28	0.0522929131191220
74	29	0
74	30	0
74	31	0
74	32	0
74	33	0
74	34	0
74	35	0
75	3	0.133743827628710
75	4	0.190165523109711
75	5	0.256773524429841
75	6	0.326285480384334
75	7	0.392716175084804
75	8	0.456731905799855
75	9	0.526934870589213
75	10	0.614959204437855
75	11	0.723584997773959
75	12	0.843918277400688
75	13	0.956700954145427
75	14	1.04623696069417
75	15	1.11517599569031
75	16	1.18414507194667
75	17	1.2674762811812
75	18	1.34574470270250
75	19	1.37648929508048
75	20	1.33741203943375
75	21	1.24404843213082
75	22	1.13282948182338
75	23	0.998764768958078
75	24	0.814222640681485
75	25	0.589048056166919
75	26	0.364609653199882
75	27	0.181207909301514
75	28	0.0437710046433252
75	29	0
75	30	0
75	31	0
75	32	0
75	33	0
75	34	0
75	35	0
76	3	0.130342926772688
76	4	0.1914611372006
76	5	0.264177891695794
76	6	0.339525923353561
76	7	0.412961893893001
76	8	0.487692312407543
76	9	0.57214688418039
76	10	0.674535643474785
76	11	0.7941450234061
76	12	0.921630427850056
76	13	1.04267700757696
76	14	1.14622575466008
76	15	1.23533282392465
76	16	1.32331922577308
76	17	1.41213582322572
76	18	1.48278829515747
76	19	1.50616902937605
76	20	1.46984171832799
76	21	1.3851909470773
76	22	1.27282983172577
76	23	1.12125532446753
76	24	0.906916454685525
76	25	0.647897546886368
76	26	0.396008904843479
76	27	0.194335672959981
76	28	0.0436138980151372
76	29	0
76	30	0
76	31	0
76	32	0
76	33	0
76	34	0
76	35	0
77	3	0.133539678048086
77	4	0.197481634713365
77	5	0.272529546455247
77	6	0.349123125460743
77	7	0.424516625883458
77	8	0.504700845537261
77	9	0.598243697981913
77	10	0.711560472884474
77	11	0.841168497537306
77	12	0.977822173836889
77	13	1.11201675240613
77	14	1.23287672855943
77	15	1.34192839877167
77	16	1.4442147003286
77	17	1.53509626326728
77	18	1.6007507541846
77	19	1.62973226515482
77	20	1.61677382988692
77	21	1.56167287921201
77	22	1.45913064175963
77	23	1.28635533418336
77	24	1.02756102557082
77	25	0.718523922847059
77	26	0.431049610082019
77	27	0.208382928733471
77	28	0.0436999803512038
77	29	0
77	30	0
77	31	0
77	32	0
77	33	0
77	34	0
77	35	0
78	3	0.144233171978871
78	4	0.207565339283834
78	5	0.279338495384284
78	6	0.350782042791975
78	7	0.421326558606792
78	8	0.499511921501043
78	9	0.595946418062918
78	10	0.716107585030668
