"RH"	"C"	"monthly.gam.surface"
70	3	0.308974340066793
70	4	0.383285615877133
70	5	0.470291352404261
70	6	0.571393348538288
70	7	0.676144378503524
70	8	0.770026424172662
70	9	0.843481766103206
70	10	0.907614702062487
70	11	0.980908758223336
70	12	1.07135923027393
70	13	1.17270302066567
70	14	1.27349517711746
70	15	1.36490012186094
70	16	1.43457627396556
70	17	1.47317655002135
70	18	1.47536005857082
70	19	1.44399507615673
70	20	1.39743975448085
70	21	1.34746185536929
70	22	1.29317787616780
70	23	1.22242379877276
70	24	1.10422562018729
70	25	0.929899919836645
70	26	0.729576473560607
70	27	0.54092418976842
70	28	0.378354537160295
70	29	0.234057831658331
70	30	0.092789363446713
70	31	0
70	32	0
70	33	0
70	34	0
70	35	0
71	3	0.326854017928461
71	4	0.407987639136816
71	5	0.503702438664299
71	6	0.612586925498634
71	7	0.722635733200655
71	8	0.816932801847775
71	9	0.889572050296332
71	10	0.955481174966265
71	11	1.03950340703665
71	12	1.15072185032928
71	13	1.27487317410984
71	14	1.38716946911468
71	15	1.47699388976693
71	16	1.5398052445856
71	17	1.57838399795617
71	18	1.59652425461109
71	19	1.59309121019610
71	20	1.57473234356950
71	21	1.54644259328409
71	22	1.49708890301192
71	23	1.39904341871935
71	24	1.23262330278169
71	25	1.00505592128465
71	26	0.762871061637656
71	27	0.552182098732951
71	28	0.382782315135469
71	29	0.239147832404885
71	30	0.0978421189317737
71	31	0
71	32	0
71	33	0
71	34	0
71	35	0
72	3	0.355506671959143
72	4	0.446117472468522
72	5	0.55018565489138
72	6	0.662921832033058
72	7	0.77029656735397
72	8	0.858984346254046
72	9	0.929177658458775
72	10	1.00160666427711
72	11	1.10118731837476
72	12	1.23295104221205
72	13	1.37425494671713
72	14	1.49253480529484
72	15	1.57710574208561
72	16	1.63448739274234
72	17	1.68396490004542
72	18	1.73312416644720
72	19	1.76459190489397
72	20	1.76650742425588
72	21	1.74029679559135
72	22	1.67686061398715
72	23	1.54464941320301
72	24	1.33139204346082
72	25	1.05900536963463
72	26	0.78255795568323
72	27	0.553989357188308
72	28	0.378430652924233
72	29	0.233762745228803
72	30	0.092046472101862
72	31	0
72	32	0
72	33	0
72	34	0
72	35	0
73	3	0.381348126490635
73	4	0.483041664899139
73	5	0.596138018857105
73	6	0.711863275812612
73	7	0.81657715759302
73	8	0.90258525139293
73	9	0.97612732796085
73	10	1.06103242389964
73	11	1.17775802274370
73	12	1.32419761012889
73	13	1.47384536647878
73	14	1.59471411300828
73	15	1.67947882472432
73	16	1.74349054133733
73	17	1.81417519569609
73	18	1.8977230644883
73	19	1.95320065905931
73	20	1.94920513200069
73	21	1.8918508819236
73	22	1.79243162119471
73	23	1.62993537694805
73	24	1.38997354661047
73	25	1.09607929891677
73	26	0.803349602090065
73	27	0.563711738063966
73	28	0.380110601083446
73	29	0.228455753732851
73	30	0.0825675601691812
73	31	0
73	32	0
73	33	0
73	34	0
73	35	0
74	3	0.391954649383531
74	4	0.506158445382128
74	5	0.629796225360522
74	6	0.751889747502732
74	7	0.859539215814522
74	8	0.951339586880268
74	9	1.03826090009738
74	10	1.14214823736983
74	11	1.27670946468958
74	12	1.43509801601979
74	13	1.59118143976610
74	14	1.71769954483641
74	15	1.81269668216844
74	16	1.89857761316288
74	17	1.99803352674479
74	18	2.10236916915549
74	19	2.15770037091132
74	20	2.12373075148508
74	21	2.01753572723729
74	22	1.87549914859055
74	23	1.69317320359259
74	24	1.44607465402138
74	25	1.14967204065867
74	26	0.852421289380145
74	27	0.600358474044553
74	28	0.401697548812448
74	29	0.235921154640927
74	30	0.0809163105395795
74	31	0
74	32	0
74	33	0
74	34	0
74	35	0
75	3	0.390334071048879
75	4	0.516130769045932
75	5	0.650638667192079
75	6	0.781148233252827
75	7	0.898894379895424
75	8	1.00608192279974
75	9	1.11559809450100
75	10	1.24435779977767
75	11	1.39804349615064
75	12	1.56791280420850
75	13	1.73210925985387
75	14	1.87202961538246
75	15	1.98953339249453
75	16	2.10535717080540
75	17	2.23075491181115
75	18	2.33738312431174
75	19	2.37167543820914
75	20	2.30834533221883
75	21	2.16904949340460
75	22	2.00318485524101
75	23	1.80809067322887
75	24	1.55184247338290
75	25	1.24669729845607
75	26	0.937325278235976
75	27	0.66606535752417
75	28	0.445486262316319
75	29	0.260489133568019
75	30	0.092244178897641
75	31	0
75	32	0
75	33	0
75	34	0
75	35	0
76	3	0.395115317774775
76	4	0.526459214935404
76	5	0.66712845304336
76	6	0.804504258016146
76	7	0.933633246957665
76	8	1.06011128682667
76	9	1.19591279863187
76	10	1.35142395411800
76	11	1.52578167920373
76	12	1.70878414777988
76	13	1.88476673651088
76	14	2.04299474211539
76	15	2.18765904821126
76	16	2.33013696096550
76	17	2.46328082419434
76	18	2.55844469807422
76	19	2.57872545302037
76	20	2.51280838042402
76	21	2.38057352194952
76	22	2.21470259598192
76	23	2.00488568348108
76	24	1.7216526249522
76	25	1.38218460282198
76	26	1.04137229320646
76	27	0.744780202802575
76	28	0.503809146758897
76	29	0.300598569332171
76	30	0.116636419442056
76	31	0
76	32	0
76	33	0
76	34	0
76	35	0
77	3	0.418117566453562
77	4	0.548591927897982
77	5	0.687441365706051
77	6	0.824613415693084
77	7	0.959924323542504
77	8	1.10218729377771
77	9	1.26156353186387
77	10	1.44298988457188
77	11	1.63826433611631
77	12	1.83433759179113
77	13	2.02287449817215
77	14	2.19650229151524
77	15	2.36033257324774
77	16	2.51683051558808
77	17	2.65126859232447
77	18	2.73988369416254
77	19	2.76771562841822
77	20	2.73155315466624
77	21	2.63758579458979
77	22	2.48697334442774
77	23	2.25610889533431
77	24	1.92469344030417
77	25	1.52898347178172
77	26	1.14606346990971
77	27	0.824670013719768
77	28	0.568495430648674
77	29	0.350146054803921
77	30	0.150103991743204
77	31	0
77	32	0
77	33	0
77	34	0
77	35	0
78	3	0.458492385500890
78	4	0.582760211007934
78	5	0.711748977277442
78	6	0.840095759047676
78	7	0.973508722092984
78	8	1.12394695465314
78	9	1.30057581297258
78	10	1.50389378128562
78	11	1.71874870864428
78	12	1.92818728783571
78	13	2.12760737255490
78	14	2.31547828433767
78	15	2.49506412729902
78	16	2.66259855935136
78	17	2.80573865032229
78	18	2.9088545602224
78	19	2.96641716585437
78	20	2.97726258293011
78	21	2.92652206192825
78	22	2.78346713357586
78	23	2.51420905769569
